trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.1, 'e': 0.9003245225862656}",20,0,-29.69249042985205,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
43,False,"{'a': 0.1, 'e': 0.8980765224508026}",30,0,-146.76467814744072,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
44,False,"{'a': 0.1, 'e': 0.8958341352965282}",20,0,-78.89304381274651,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
45,False,"{'a': 0.1, 'e': 0.8935973471085157}",25,12,0.9728396913966826,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.1, 'e': 0.8913661439068313}",20,16,8.489844450883357,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.1, 'e': 0.889140511746448}",25,0,-100.06943656297979,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
48,False,"{'a': 0.1, 'e': 0.8869204367171575}",20,0,-38.05512670678868,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
49,False,"{'a': 0.1, 'e': 0.8847059049434836}",20,0,-130.10444991830656,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
50,False,"{'a': 0.1, 'e': 0.8824969025845955}",20,0,-117.2194903291148,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
51,False,"{'a': 0.1, 'e': 0.8802934158342212}",20,0,-180.75782621510757,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
52,False,"{'a': 0.1, 'e': 0.8780954309205613}",25,0,-89.57956848623648,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
53,False,"{'a': 0.1, 'e': 0.8759029341062031}",25,0,-152.74688869975034,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
54,False,"{'a': 0.1, 'e': 0.8737159116880344}",20,0,-118.9003902736488,"{0: 11, 1: 4, 2: 1, 3: 3, 4: 1}",0
55,False,"{'a': 0.1, 'e': 0.8715343499971578}",20,0,-126.22187853904998,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
56,False,"{'a': 0.1, 'e': 0.8693582353988059}",25,0,-87.44818256863614,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
